id,symptoms,vaidya_name,panchakarma,username,password,vaidya_description,Therapist_Name,Therapist_Password
1526,"blood impure, skin boils, acne",Vaidya Anita Singh,Raktamokshana,vaidya.anita.singh,ephrwnXx,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.,Dr. Vivek Rao,JmZqonq0
1527,"skin boils, gout",Vaidya Ashok Kulkarni,Raktamokshana,vaidya.ashok.kulkarni,KZnzMqhx,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities.",Dr. Kavita Bansal,ECEClbJZ
1528,"bronchitis, obesity, respiratory issue",Vaidya Neha Mehta,Vamana,vaidya.neha.mehta,uv6GJdnw,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies.",Dr. Aditi Sharma,EqvcX77t
1529,"acidity, allergy, pimples",Vaidya Tarun Bhosale,Virechana,vaidya.tarun.bhosale,Ozsn2lNk,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.,Dr. Pooja Nair,3uPdUpMb
1530,cough,Vaidya Amit Deshmukh,Vamana,vaidya.amit.deshmukh,kICEYIGe,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies.",Dr. Priya Reddy,50L9Rx3C
1531,migraine,Vaidya Arjun Desai,Nasya,vaidya.arjun.desai,UjYKiQpr,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness.",Dr. Aditi Sharma,VPIHd1tC
1532,asthma,Vaidya Vinod Jadhav,Vamana,vaidya.vinod.jadhav,Lfq6PyxS,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management.",Dr. Priya Reddy,Tgnzgb0H
1533,"acidity, psoriasis",Vaidya Ritu Deshmukh,Virechana,vaidya.ritu.deshmukh,ErgGJLAZ,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.,Dr. Aditi Sharma,6Aenr5Gn
1534,"pimples, eczema",Vaidya Gopal Menon,Virechana,vaidya.gopal.menon,9lBW8Of1,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award.",Dr. Rohit Gupta,ngaVQDjJ
1535,"nose block, sinus, stuffy nose",Vaidya Kiran Joshi,Nasya,vaidya.kiran.joshi,xtliAdNz,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.,Dr. Neha Verma,adkw4p4W
1536,"allergy, skin rashes",Vaidya Anjali Nair,Virechana,vaidya.anjali.nair,tH2PQfix,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma.",Dr. Aditi Sharma,fziDXKFn
1537,"inflammation, acne",Vaidya Nitin Bhandari,Raktamokshana,vaidya.nitin.bhandari,ihqBdewO,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal.",Dr. Suresh Pillai,eF9ke1SV
1538,pimples,Vaidya Kavya Reddy,Virechana,vaidya.kavya.reddy,ZxvGS5S2,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness.",Dr. Arjun Kapoor,zWZgDlHG
1539,"skin boils, blood impure",Vaidya Nitin Bhandari,Raktamokshana,vaidya.nitin.bhandari,DL7aGKoI,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.,Dr. Manish Agarwal,HKkIqHSs
1540,"cough, asthma, respiratory issue",Vaidya Lata More,Vamana,vaidya.lata.more,60PEGo1z,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal.",Dr. Pooja Nair,boThQvR5
1541,"acne, ulcer",Vaidya Suresh Reddy,Raktamokshana,vaidya.suresh.reddy,92P9vOYd,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award.",Dr. Arjun Kapoor,YDqCgriA
1542,skin boils,Vaidya Anita Singh,Raktamokshana,vaidya.anita.singh,OC3R90Qh,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.,Dr. Rohit Gupta,URlCTLqZ
1543,"joint pain, constipation",Vaidya Sandeep Joshi,Basti,vaidya.sandeep.joshi,S8JuYWO5,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.,Dr. Manish Agarwal,4Y2wiGYr
1544,"sinus, migraine, headache",Vaidya Priya Nair,Nasya,vaidya.priya.nair,HnKkorGh,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness.",Dr. Aditi Sharma,iQGJ3pqM
1545,sinus,Vaidya Arjun Desai,Nasya,vaidya.arjun.desai,rilUyolB,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.,Dr. Suresh Pillai,bE1Bm02L
1546,"skin rashes, eczema",Vaidya Aarti Kulkarni,Virechana,vaidya.aarti.kulkarni,98DYJiPZ,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award.",Dr. Karan Singh,ceHVWLjK
1547,"sinus, cold",Vaidya Vivek Kulkarni,Nasya,vaidya.vivek.kulkarni,7Rd6aOmw,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.,Dr. Suresh Pillai,CXDrpM5I
1548,"gout, inflammation",Vaidya Nitin Bhandari,Raktamokshana,vaidya.nitin.bhandari,nRQMUurn,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.,Dr. Suresh Pillai,Rs8sG8fu
1549,kapha disorder,Vaidya Amit Deshmukh,Vamana,vaidya.amit.deshmukh,5bqIIEnL,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma.",Dr. Neha Verma,N9JgS9JC
1550,"pimples, acidity, psoriasis",Vaidya Rohit Patil,Virechana,vaidya.rohit.patil,j0zYLFLo,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma.",Dr. Pooja Nair,1Ntyg20f
1551,"blood impure, inflammation, acne",Vaidya Prakash Nair,Raktamokshana,vaidya.prakash.nair,jcBfS83p,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness.",Dr. Manish Agarwal,BALRGvM1
1552,"liver problem, psoriasis, acidity",Vaidya Anjali Nair,Virechana,vaidya.anjali.nair,rplLk4Jd,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.,Dr. Arjun Kapoor,iHE0oiw7
1553,"acne, blood impure, skin boils",Vaidya Rekha Menon,Raktamokshana,vaidya.rekha.menon,tqv3zpNw,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities.",Dr. Karan Singh,k4wmRJPW
1554,"liver problem, psoriasis, pimples",Vaidya Mohan Sharma,Virechana,vaidya.mohan.sharma,g5YMRScV,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities.",Dr. Vivek Rao,z2x1XOYv
1555,"headache, nose block",Vaidya Deepak Shukla,Nasya,vaidya.deepak.shukla,g0bMnrIr,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.,Dr. Kavita Bansal,gJBMHmiG
1556,"joint pain, constipation",Vaidya Anjali Nair,Basti,vaidya.anjali.nair,2YtBmtSy,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.,Dr. Suresh Pillai,HVlOglPe
1557,migraine,Vaidya Vivek Kulkarni,Nasya,vaidya.vivek.kulkarni,yNkYybD2,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.,Dr. Vivek Rao,9eHEkNej
1558,inflammation,Vaidya Rekha Menon,Raktamokshana,vaidya.rekha.menon,MHzcl5yw,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.,Dr. Priya Reddy,znDZ7YwR
1559,acidity,Vaidya Kavya Reddy,Virechana,vaidya.kavya.reddy,jTDb1gFB,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.,Dr. Rajesh Mehta,JJksXVbg
1560,"asthma, bronchitis",Vaidya Lata More,Vamana,vaidya.lata.more,M6AKmqh6,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management.",Dr. Kavita Bansal,FEvQjyKH
1561,allergy,Vaidya Tarun Bhosale,Virechana,vaidya.tarun.bhosale,VEDzpYVZ,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies.",Dr. Rajesh Mehta,OiC3Rh6b
1562,"nose block, cold",Vaidya Rohan Iyer,Nasya,vaidya.rohan.iyer,gZdMc93u,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.,Dr. Neha Verma,tEo40hu2
1563,"headache, nose block",Vaidya Vivek Kulkarni,Nasya,vaidya.vivek.kulkarni,RqdWNDOw,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.,Dr. Anjali Das,gBWohNjy
1564,acidity,Vaidya Tarun Bhosale,Virechana,vaidya.tarun.bhosale,cvMEC1Kz,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices.",Dr. Karan Singh,eDTUDaT3
1565,"headache, migraine",Vaidya Priya Nair,Nasya,vaidya.priya.nair,mGG3mUin,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health.",Dr. Karan Singh,KpsIUQp5
1566,"migraine, headache",Vaidya Deepak Shukla,Nasya,vaidya.deepak.shukla,OiEgvu9o,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.,Dr. Priya Reddy,trki5xTI
1567,"sinus, migraine, cold",Vaidya Rohan Iyer,Nasya,vaidya.rohan.iyer,QS5UFyLK,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal.",Dr. Ritu Malhotra,QjuMN8S7
1568,"blood impure, gout",Vaidya Manohar Joshi,Raktamokshana,vaidya.manohar.joshi,J4WcJM9R,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health.",Dr. Vivek Rao,XTsUQwiX
1569,obesity,Vaidya Lata More,Vamana,vaidya.lata.more,95jtlrBw,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities.",Dr. Anjali Das,wSmq7r3K
1570,respiratory issue,Vaidya Amit Deshmukh,Vamana,vaidya.amit.deshmukh,uPHHJsrI,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies.",Dr. Sneha Iyer,ScGgolQJ
1571,"acne, inflammation",Vaidya Prakash Nair,Raktamokshana,vaidya.prakash.nair,fVgkTebY,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma.",Dr. Priya Reddy,8lIc3Tbz
1572,"cough, kapha disorder, respiratory issue",Vaidya Kunal Thakur,Vamana,vaidya.kunal.thakur,eirElfmi,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award.",Dr. Pooja Nair,1FRpfrWW
1573,"cold, migraine, sinus",Vaidya Rohan Iyer,Nasya,vaidya.rohan.iyer,ve4083iX,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities.",Dr. Rohit Gupta,K1K4P8U0
1574,"kapha disorder, bronchitis",Vaidya Kavita Joshi,Vamana,vaidya.kavita.joshi,xfduwKDp,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award.",Dr. Anjali Das,VDeNdl7c
1575,"inflammation, skin boils, acne",Vaidya Rekha Menon,Raktamokshana,vaidya.rekha.menon,FWX8xcr4,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award.",Dr. Suresh Pillai,6tmUaPaG
1576,"respiratory issue, asthma, obesity",Vaidya Lata More,Vamana,vaidya.lata.more,b1qKthkQ,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness.",Dr. Sneha Iyer,nf6QGOFY
1577,"joint pain, gastric problem, constipation",Vaidya Seema Verma,Basti,vaidya.seema.verma,Imk4JWiT,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda.",Dr. Manish Agarwal,yj0JuGZG
1578,"asthma, cough",Vaidya Neha Mehta,Vamana,vaidya.neha.mehta,wBJ4dYY0,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices.",Dr. Karan Singh,3WuCWa5B
1579,"skin rashes, eczema",Vaidya Gopal Menon,Virechana,vaidya.gopal.menon,iLtzDBz0,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.,Dr. Suresh Pillai,L3W3DLNs
1580,"back pain, indigestion",Vaidya Kavya Reddy,Basti,vaidya.kavya.reddy,VHxzuLcA,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness.",Dr. Arjun Kapoor,qUGrO5t8
1581,"skin boils, acne",Vaidya Geeta Patil,Raktamokshana,vaidya.geeta.patil,B2LUbaih,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies.",Dr. Rajesh Mehta,3bFpetCK
1582,"skin boils, blood impure, inflammation",Vaidya Jyoti Rao,Raktamokshana,vaidya.jyoti.rao,GagjUDhQ,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness.",Dr. Ritu Malhotra,Ba6GKHIO
1583,"joint pain, arthritis, back pain",Vaidya Tarun Bhosale,Basti,vaidya.tarun.bhosale,mq2qG4JD,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.,Dr. Ritu Malhotra,GSGUYA3E
1584,allergy,Vaidya Manisha Patil,Nasya,vaidya.manisha.patil,VWJU6FD2,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management.",Dr. Kavita Bansal,LrlC62Cb
1585,"ulcer, gout, skin boils",Vaidya Suresh Reddy,Raktamokshana,vaidya.suresh.reddy,PsGERgNE,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.,Dr. Kavita Bansal,oXpSKsVx
1586,headache,Vaidya Arjun Desai,Nasya,vaidya.arjun.desai,KgsUsGvG,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management.",Dr. Suresh Pillai,qmvOLEbn
1587,"cough, obesity",Vaidya Neha Mehta,Vamana,vaidya.neha.mehta,cSXmOh9K,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management.",Dr. Rajesh Mehta,Y60p9vrG
1588,"headache, allergy",Vaidya Nisha Bhat,Nasya,vaidya.nisha.bhat,ZwB0SWSG,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies.",Dr. Rajesh Mehta,Z8GFlXJc
